event,Prec_phi_g,N_generated_in_event,e_accepted_in_event,ep_accepted_in_event
0,103.005,12,8,5
1,-126.68,7,4,3
2,20.4566,19,12,10
3,77.6513,10,3,3
4,-79.014,7,3,1
5,-15.0771,11,5,5
6,-128.543,14,10,5
7,-66.2612,11,6,5
8,48.5209,6,3,2
9,-37.6044,11,5,1
10,43.453,8,6,3
11,68.1066,10,6,2
12,-75.6397,14,8,5
13,-107.643,17,10,8
14,41.3806,8,5,3
15,-127.266,7,3,2
16,52.4799,9,7,4
17,167.121,9,5,4
18,124.877,8,4,2
19,-66.2667,9,6,5
20,61.9023,10,8,4
21,164.839,14,9,6
22,78.0823,8,2,1
23,-97.7117,10,4,1
24,-132.676,14,6,4
25,-158.652,9,4,4
26,-124.449,9,6,4
27,36.9845,11,6,3
28,124.053,12,9,5
29,39.0809,11,6,4
30,81.9821,13,8,5
31,-67.9417,6,3,0
32,112.798,6,4,2
33,-138.775,7,4,2
34,-51.8328,14,12,8
35,-136.738,11,5,5
36,-97.4364,11,3,1
37,75.3951,19,9,5
38,-56.1439,9,4,3
39,111.802,13,9,6
40,-56.1941,11,9,8
41,-168.208,16,11,7
42,-120.588,13,6,3
43,-1.74826,12,7,5
44,-166.721,18,11,9
45,-3.2741,10,8,3
46,3.06868,12,9,3
47,38.217,16,12,6
48,-55.4713,12,9,5
49,1.80962,12,10,6
50,134.005,8,4,0
51,-1.94303,10,5,3
52,19.8235,15,9,4
53,76.0804,9,6,4
54,7.0362,11,6,4
55,170.989,12,9,6
56,73.0329,9,6,5
57,-134.083,8,5,3
58,16.3491,25,12,9
59,-135.65,14,8,3
60,-15.5755,15,5,3
61,177.814,12,9,4
62,80.9629,7,3,1
63,71.6301,6,1,1
64,-118.302,4,3,0
65,17.1493,11,6,5
66,79.7424,8,1,1
67,-114.849,14,8,6
68,-132.845,7,3,1
69,-110.354,15,9,7
70,66.3868,8,3,2
71,4.38549,6,3,1
72,-41.2621,10,5,2
73,-57.4351,13,11,8
74,-82.9357,9,4,3
75,133.648,15,8,4
76,-124.635,9,6,4
77,-39.0959,12,5,1
78,71.8465,8,7,5
79,-167.549,9,8,4
80,172.612,10,9,4
81,-162.615,15,6,4
82,159.823,15,11,7
83,174.984,12,9,9
84,-60.0887,10,9,6
85,-69.561,7,4,2
86,-111.12,5,3,1
87,-101.104,9,3,1
88,176.411,16,13,10
89,-179.225,13,11,9
90,-62.6968,15,13,8
91,-157.605,11,4,1
92,-166.042,8,4,4
93,7.39169,6,3,2
94,-48.4091,10,8,6
95,-176.193,11,9,7
96,-143.073,8,3,3
97,111.55,12,8,3
98,-17.1092,12,5,4
99,135.291,10,5,2
100,170.644,14,11,7
101,136.165,16,10,3
102,-114.176,13,12,6
103,164.149,9,5,3
104,-55.2808,17,10,4
105,-116.15,11,10,5
106,-177.615,13,11,5
107,-138.117,9,3,1
108,163.079,12,6,1
109,-119.725,7,5,1
110,-138.212,11,6,6
111,-119.237,9,8,7
112,161.789,9,4,2
113,20.7804,13,5,2
114,160.61,9,4,3
115,-117.995,10,8,6
116,51.4051,9,5,2
117,10.9374,10,6,4
118,16.5825,10,6,5
119,-158.104,6,2,1
120,126.732,13,10,4
121,-162.044,13,9,7
122,65.4042,13,12,5
123,178.356,8,7,5
124,-126.649,17,14,10
125,-101.114,13,5,4
126,118.465,7,2,1
127,17.1795,12,6,5
128,-157.379,7,6,3
129,-161.158,8,3,1
130,3.93065,12,5,1
131,176.223,12,10,6
132,-74.3007,8,6,4
133,7.16005,9,5,4
134,52.5005,6,4,2
135,-105.377,13,7,1
136,-120.777,11,10,6
137,-128.116,14,8,5
138,175.301,7,6,5
139,83.5972,10,5,4
140,172.544,8,5,4
141,-17.8503,11,4,4
142,-176.435,9,7,4
143,-43.7101,9,7,4
144,10.0286,10,4,2
145,-108.734,9,5,4
146,-71.5444,14,6,3
147,164.333,6,4,3
148,61.62,15,11,7
149,-176.744,12,11,7
150,68.6653,16,11,5
151,170.423,15,8,4
152,-3.80799,7,4,3
153,-121.317,9,6,6
154,106.837,8,1,1
155,106.909,10,6,5
156,158.449,7,2,1
157,-46.8506,11,9,7
158,-143.286,7,3,1
159,-64.2271,8,7,4
160,-46.7997,6,5,5
161,-39.1097,11,4,2
162,-138.717,8,7,2
163,5.43905,10,9,6
164,-7.96638,9,6,2
165,119.438,9,6,4
166,103.391,16,5,1
167,-98.7077,9,3,2
168,-45.6581,12,9,4
169,168.935,8,6,3
170,159.196,8,5,5
171,54.9461,13,12,12
172,111.624,7,5,4
173,129.04,12,9,4
174,-43.5574,7,1,1
175,-14.1668,10,6,2
176,175.237,11,10,6
177,178.507,10,5,5
178,-17.6709,7,2,1
179,-170.305,11,8,6
180,6.29983,11,8,5
181,127.052,13,10,8
182,-7.64085,16,12,8
183,-165.487,11,6,3
184,162.561,13,7,5
185,-175.848,10,7,6
186,98.1161,9,4,1
187,166.758,7,3,0
188,45.425,7,3,3
189,48.9992,12,9,7
190,69.1438,14,10,8
191,118.163,16,13,9
192,129.227,16,11,9
193,-117.71,9,7,6
194,79.7943,13,7,5
195,-99.1061,15,11,6
196,-6.97491,15,12,10
197,124.398,13,11,5
198,-168.034,10,5,2
199,-160.195,8,2,2
200,-78.1187,12,9,6
201,169.815,11,9,5
202,69.4837,11,8,3
203,-63.906,10,6,3
204,-111.056,7,3,0
205,113.928,7,5,2
206,171.977,10,5,3
207,130.024,11,6,3
208,59.3478,13,12,8
209,62.6778,10,9,6
210,-109.705,9,7,4
211,173.878,13,10,8
212,-108.376,7,4,3
213,-52.4972,14,11,6
214,177.557,9,6,4
215,-39.4549,11,6,5
216,117.066,11,10,5
217,116.801,9,8,5
218,-104.636,12,3,3
219,-0.139272,11,10,6
220,119.178,8,6,5
221,-175.015,10,9,5
222,-80.5352,8,2,1
223,39.9899,4,1,1
224,-55.7508,16,11,6
225,-176.709,11,6,2
226,73.5754,14,11,5
227,-120.604,7,5,1
228,-7.32444,16,13,7
229,119.264,13,10,6
230,62.9821,14,10,5
231,64.7231,16,10,5
232,172.919,11,10,6
233,-74.0882,8,7,4
234,-116.951,10,7,3
235,1.11617,8,5,3
236,76.5686,12,8,7
237,165.713,4,3,3
238,-12.0966,13,6,4
239,-0.493992,10,8,3
240,-70.4582,9,3,2
241,81.179,6,2,1
242,129.111,11,9,4
243,52.5586,14,10,8
244,160.048,7,4,3
245,173.585,9,7,3
246,179.753,9,5,3
247,-0.156015,12,8,6
248,-4.41949,14,12,9
249,50.6964,10,8,2
250,-101.832,10,3,1
251,-3.15007,8,6,2
252,-39.9813,14,7,4
253,172.357,8,6,5
254,7.78165,10,7,4
255,-114.926,11,8,4
256,-68.9369,10,7,4
257,-41.2927,10,8,3
258,-14.0643,7,4,4
259,-65.683,7,6,5
260,-133.517,6,4,2
261,-138.629,8,5,4
262,-56.5598,16,13,10
263,-62.9851,6,3,2
264,-19.2077,10,4,3
265,-127.359,9,6,6
266,-80.9027,6,4,0
267,-118.155,12,10,10
268,-7.11011,10,7,4
269,-167.942,7,4,2
270,106.832,13,7,4
271,164.396,12,4,1
272,-159.368,13,6,2
273,-6.41858,6,4,3
274,-18.2088,10,6,4
275,-158.964,9,4,4
276,59.8659,13,10,3
277,-0.416008,8,4,0
278,-0.0327848,8,7,5
279,-74.8772,8,4,3
280,76.7075,7,6,3
281,-128.908,10,6,4
282,-142.164,11,3,1
283,-139.839,10,4,2
284,61.9978,11,9,8
285,40.3446,10,8,7
286,-76.4753,9,5,3
287,-173.022,10,7,3
288,-99.133,11,5,3
289,-5.91268,11,8,3
290,-120.735,9,4,3
291,-135.938,12,5,2
292,-2.14194,7,4,2
293,97.4537,10,5,1
294,-165.218,9,6,3
295,67.1456,15,11,7
296,-133.637,4,3,2
297,-2.81366,8,3,2
298,46.5174,10,6,4
299,120.615,7,5,3
300,-165.175,12,4,3
301,-67.3481,12,9,6
302,19.1815,9,7,3
303,178.794,8,4,1
304,118.783,10,7,4
305,-103.86,9,5,2
306,-47.5775,3,2,1
307,-169.459,7,5,4
308,163.201,10,5,3
309,106.45,19,15,9
310,-54.3646,11,8,6
311,-45.731,7,6,4
312,-139.212,10,7,5
313,-125.778,12,11,8
314,72.9868,13,7,6
315,0.96763,12,7,4
316,-169.548,13,8,4
317,17.0365,10,8,5
318,46.3269,21,15,9
319,48.2223,7,5,2
320,168.089,8,4,2
321,-40.3029,10,4,2
322,19.455,7,6,4
323,-46.7082,10,3,3
324,107.769,11,7,6
325,102.563,4,1,0
326,-82.5678,17,11,4
327,13.6075,11,9,3
328,-55.4272,6,4,1
329,-61.8624,7,6,2
330,-178.267,9,6,6
331,-55.1963,12,10,5
332,-7.34093,16,11,4
333,-169.044,14,7,2
334,-19.858,11,3,1
335,-0.199095,9,6,5
336,71.3649,8,5,4
337,-112.091,10,8,4
338,157.356,12,9,4
339,121.32,10,8,6
340,-160.704,8,4,2
341,171.011,12,11,8
342,-164.753,11,6,3
343,-66.0683,15,9,7
344,80.0484,15,11,3
345,-104.349,8,4,2
346,-137.37,10,6,2
347,-115.032,10,8,1
348,110.78,9,5,4
349,-158.615,13,8,6
350,15.3179,13,7,5
351,-139.845,4,2,2
352,-167.287,10,5,5
353,22.1336,11,7,2
354,-19.988,8,4,3
355,166.595,5,3,3
356,-111.031,8,5,4
357,-159.356,8,7,6
358,-141.66,7,3,1
359,-158.334,9,4,1
360,-100.593,11,6,5
361,-129.433,12,10,7
362,63.9138,15,13,9
363,169.167,5,4,3
364,-110.454,10,5,5
365,74.8272,11,10,4
366,-118.689,6,4,0
367,16.4164,12,6,3
368,-141.143,11,4,1
369,74.0624,10,6,2
370,-175.535,13,10,6
371,-126.843,12,6,4
372,45.0398,7,3,2
373,103.042,13,7,3
374,78.2707,10,7,5
375,-72.7491,14,11,6
376,-70.5076,7,4,1
377,-173.161,6,4,3
378,-112.046,12,6,4
379,-120.172,10,9,5
380,44.8463,7,2,2
381,-105.015,6,2,0
382,56.8641,12,8,3
383,101.476,6,3,1
384,4.98421,7,4,2
385,-137.15,8,4,4
386,-39.5341,8,7,2
387,-177.278,11,10,6
388,57.4011,13,9,5
389,-68.1313,11,6,4
390,51.6716,11,6,5
391,38.7671,7,5,0
392,-51.8112,11,8,6
393,45.8854,10,6,4
394,62.7901,10,7,3
395,-158.4,14,10,7
396,-118.844,9,7,4
397,-142.264,19,13,6
398,111.033,9,6,5
399,60.6722,14,13,4
400,59.4755,11,9,7
401,-59.7462,12,10,3
402,-173.447,10,8,4
403,-16.4052,17,8,6
404,-48.7969,10,6,3
405,-138.298,9,5,1
406,64.3696,10,7,6
407,61.7149,8,7,3
408,72.9884,10,6,1
409,-70.9639,5,3,0
410,4.84268,8,4,3
411,-71.6729,10,7,5
412,-172.683,10,5,4
413,-165.038,6,4,3
414,-179.163,10,6,2
415,52.8718,10,8,5
416,-158.607,9,4,3
417,118.512,12,6,3
418,-170.635,12,8,4
419,-68.2793,8,6,3
420,132.916,7,6,5
421,100.251,7,4,2
422,109.738,8,5,4
423,80.4221,11,8,4
424,48.3245,12,7,3
425,169.428,10,7,4
426,-136.361,9,6,2
427,-12.1973,12,7,4
428,14.1702,10,5,2
429,161.033,2,0,0
430,-70.2449,6,3,2
431,-72.5347,4,1,1
432,-74.8855,14,12,7
433,-41.1212,11,7,4
434,-130.631,9,8,3
435,-112.619,9,6,3
436,-7.60413,6,4,4
437,-178.752,12,10,5
438,80.0881,11,9,7
439,-77.6837,11,5,2
440,167.993,7,6,4
441,170.451,3,2,1
442,166.37,8,7,4
443,-122.096,13,10,8
444,109.864,10,7,4
445,52.9522,6,4,2
446,-39.179,10,8,4
447,-71.8465,9,6,1
448,42.4692,11,2,2
449,-9.62398,16,13,8
450,165.199,10,6,6
451,-162.041,8,4,3
452,-178.323,13,10,4
453,133.667,7,4,4
454,-65.0855,17,13,8
455,81.0442,11,8,3
456,44.2417,10,6,5
457,-20.2533,12,6,3
458,73.7264,9,6,5
459,-73.4478,10,9,5
460,73.8963,10,6,5
461,-47.8774,15,12,7
462,-2.69596,9,8,5
463,-56.4565,7,5,5
464,-51.4009,10,6,4
465,177.701,9,7,4
466,50.6894,8,7,7
467,45.7947,12,7,4
468,-63.4706,8,5,2
469,-173.366,13,12,8
470,127.652,9,7,2
471,48.4014,7,2,1
472,19.073,8,3,1
473,58.5234,8,5,2
474,-49.6614,10,8,3
475,73.6725,13,11,4
476,-7.58276,12,8,5
477,-11.5427,14,9,5
478,1.94685,9,6,5
479,-71.493,6,4,3
480,-111.314,8,7,6
481,-118.175,13,10,9
482,-73.4098,11,7,5
483,-70.1036,6,5,3
484,-137.139,11,4,1
485,-60.2349,6,5,4
486,68.357,13,10,6
487,-118.294,10,6,4
488,37.4582,18,11,5
489,104.763,10,5,4
490,11.4788,13,6,5
491,17.1393,6,5,3
492,-142.31,11,7,2
493,-104.806,6,3,1
494,-79.8494,14,6,2
495,-9.10633,9,6,4
496,158.328,14,5,3
497,-42.463,8,3,2
498,-81.6699,13,3,0
499,-58.0811,9,5,3
500,-97.0978,8,6,3
501,-12.298,13,4,4
502,-113.283,7,4,2
503,106.998,15,12,7
504,-61.4244,9,3,3
505,139.899,10,4,2
506,-50.8451,7,4,3
507,-55.5011,6,4,3
508,-122.639,6,4,3
509,110.852,9,6,1
510,-59.5188,9,7,4
511,175.064,10,6,2
512,128.562,9,6,5
513,129.574,13,10,6
514,98.4843,13,10,4
515,-121.928,9,8,7
516,174.383,9,8,5
517,-98.318,10,4,1
518,-116.064,10,7,5
519,-105.123,8,2,1
520,-65.7944,11,8,6
521,159.653,13,7,4
522,49.8234,6,4,3
523,-120.921,10,6,5
524,2.33162,8,7,4
525,-62.7338,13,11,7
526,161.199,8,3,1
527,75.4299,6,3,2
528,-165.746,12,3,0
529,-173.644,10,5,3
530,116.959,8,5,3
531,-114.35,13,5,3
532,-51.1513,9,7,4
533,114.201,11,9,6
534,-12.1518,11,10,7
535,141.687,12,5,0
536,46.5402,9,5,2
537,-110.086,9,4,0
538,-97.9988,9,4,4
539,-54.2202,5,4,3
540,-177.384,12,10,6
541,77.5708,10,5,3
542,163.959,4,2,2
543,75.9117,9,6,5
544,-5.17604,6,4,0
545,82.8051,9,5,3
546,-165.024,13,9,7
547,179.362,8,7,3
548,-65.885,15,11,7
549,76.2744,7,1,1
550,-62.9331,8,5,3
551,-167.035,12,6,4
552,131.985,6,1,0
553,-21.4687,8,3,2
554,-170.34,6,4,3
555,-2.69692,10,9,3
556,-140.323,7,3,1
557,76.6783,13,9,5
558,-137.981,13,7,7
559,8.35099,13,10,7
560,44.6399,10,7,6
561,-132.111,5,1,1
562,162.845,6,5,5
563,46.8744,12,9,5
564,-71.3371,11,8,6
565,163.545,11,5,1
566,119.656,8,6,4
567,-121.108,8,6,4
568,73.6253,5,3,2
569,-43.5295,14,5,3
570,-173.251,7,5,4
571,4.76816,12,10,6
572,73.2273,7,3,2
573,61.7006,11,9,9
574,-142.299,7,2,2
575,-46.828,8,6,6
576,54.543,8,4,1
577,14.3524,10,7,5
578,-119.778,11,8,4
579,110.656,3,1,1
580,-172.021,8,6,3
581,115.349,11,10,5
582,-157.901,10,7,3
583,-159.543,6,3,2
584,51.7186,9,7,4
585,80.5704,9,6,2
586,162.716,9,5,2
587,135.651,9,4,3
588,80.8624,8,4,3
589,169.914,10,8,5
590,169.573,18,13,9
591,-164.251,8,5,3
592,7.03671,9,8,6
593,69.8806,13,11,7
594,179.954,9,7,4
595,-132.81,3,1,1
596,-2.36808,9,7,6
597,-39.955,9,4,3
598,57.9638,6,3,3
599,-100.479,6,3,0
600,-122.61,10,5,2
601,-47.9597,7,3,3
602,-0.88044,10,5,1
603,-178.76,6,5,3
604,-161.57,5,2,2
605,-64.2946,7,6,6
606,-108.78,9,5,5
607,-71.1043,3,2,2
608,39.0254,6,2,0
609,108.843,9,5,3
610,-125.615,7,5,3
611,-122.919,7,6,5
612,39.1035,5,2,1
613,40.5595,6,2,1
614,81.1,8,4,2
615,51.6356,5,1,0
616,-170.2,5,2,0
617,120.033,8,4,1
618,105.299,5,3,2
619,70.0502,6,4,2
620,-112.539,5,4,3
621,-100.486,4,3,1
622,173.753,5,4,2
623,-57.0148,6,5,5
624,-165.531,4,3,1
625,-157.519,3,0,0
